클래스 명,접근자,타입,변수명,설명,비고,,,클래스 명: 해당 변수가 속한 클래스명
"@Configuration
MapperConfig",,,,"VO,ENTITY < - > DTO 변환을 위한 설정",제거 사용안함,,,
"@Configuration
SecurityConfig",,,,,추후 작성 예정,,,
"@Configuration

WebSocketServer",,,,,"
혜윰 :알아서 하겠습니다.
",,,
FileConfig,,,,,준용 담당,,,
공통 어노테이션,,,,,,,,
"@Log4j2
@RequiredArgsConstructor",,,,,,,,
"@Controller
@RequestMapping(""/movie"")
MovieController",private final,MovieService,movieService,영화 정보를 불러올 때 사용,초기 페이지 (영화 목록이 나타나는 페이지),,,
"@Controller
@RequestMapping(""/booking"")
BookingController",private final,ScheduleService,scheduleService,스케쥴에 대한 정보를 확인,예매 관련 관리,,,
,private final,ReservationService,reservationService,예약 등록,,,,
,private final,WebSocketServer,webSocketServer,웹소켓 기능을 사용하기 위해 사용,,,,
"@Controller
@RequestMapping(""/payment"")
PaymentController",private final,BonusPolicyService,bonusPolicyService,포인트 적립 정책,,,,
,private final,DiscountPolicyService,discountPolicyService,할인 정책,,"/admin/login UC-11 관리자 로그인
/admin/dashboard 관리자 대시보드
/admin/refund UC-17 환불 처리
/admin/movie/form UC-18~19 영화 등록·수정
/admin/movie/manage UC-20 영화 목록·삭제
/admin/theater/edit UC-21 상영관 수정",,
,private final,MembersService,membersService,포인트 사용 / 조회,,,,
,private final,PaymentService,paymentService,결제에 대한 서비스를 제공,,"/admin/stats/daily UC-12 일일 통계
/admin/stats/monthly UC-13 월별 통계
/admin/stats/by-day UC-14 요일별 통계
/admin/stats/by-hour UC-15 시간대별 통계
/admin/stats/by-movie UC-16 영화별 통계",,
,private final,WebSocketServer,webSocketServer,웹소켓 기능을 사용하기 위해 사용,,,,
"@RestController
@RequestMapping(""/auth"")
AuthController",private final,AuthServiece,authServiece,인증,인증을 관리하는 컨트롤러,,,
,private final,SmsService,smsService,문자 메시지 발송,,,,
"@Controller
@RequestMapping(""/admin/login"")
LoginController",private final,LoginService,loginService,,"관리자 전화번호 (UNIQUE)
계정에 대한 정보를 관리",,,
"@Controller
@RequestMapping(""/admin/statistics"")
StatisticsController",private final,StatisticsService,statisticsService,,admin 관련 기능중 통계를 관리,,,
"@Controller
@RequestMapping(""/admin/management"")
ManagementController",private final,ScheduleService,scheduleService,스케쥴 정보를 관리,"admin 관련 기능중 영화, 상영관, 스케쥴, 회원 목록
 등을 관리",,,
,private final,TheaterService,theaterService,상영관 정보를 관리,,,,
,private final,MovieService,movieService,영화 정보를 관리,,,,
,private final,BonusPolicyService,bonusPolicyService,포인트 정책 관리,,,,
,private final,DiscountPolicyService,discountPolicyService,할인 정책 관리,,,,
"@Controller
@RequestMapping(""/admin/refund"")
RefundController",private final,PaymentService,paymentService,결제에 대한 서비스를 제공,환불에 대해서 작업해주는 컨트롤러,,,
"@Controller
@RequestMapping(""/test/{본인 이니셜}"")
{이니셜}TestController",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
공토 어노테이션,,,,,,,,
"@Log4j2
@Service
@RequiredArgsConstructor","각 서비스에 맞게 Mapper, Repositoy 일치시키기",,,,,,,
AuthService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
SmsService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
LoginService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
MembersService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,private final,MembersMapper,membersMapper,회원 관리에 대한 myBatis 기능을 제공,,,,
,private final,MembersRepository,membersRepository,회원관리에 대한 JPA 기능을 제공,,,,
,private final,PointHistoryMapper,pointHistoryMapper,포인트 내역에 대한 myBatis 기능을 제공,,,,
,private final,PointHistoryRepository,pointHistoryRepository,포인트 내역에 대한 JPA 기능을 제공,,,,
MovieService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,private final,MovieMapper,movieMapper,,,,,
,private final,MovieRepository,movieRepository,,,,,
BonusPolicyService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,private final,BonusPolicyMapper,bonusPolicyMapper,,,,,
,private final,BonusPolicyRepository,bonusPolicyRepository,,,,,
DiscountPolicyService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,private final,DiscountPolicyMapper,discountPolicyMapper,,,,,
,private final,DiscountPolicyRepository,discountPolicyRepository,,,,,
TheaterService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,private final,TheaterMapper,theaterMapper,,,,,
,private final,TheaterRepository,theaterRepository,,,,,
ScheduleService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,private final,ScheduleMapper,scheduleMapper,,,,,
,private final,Schedule,schedule,,,,,
StatisticsService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
