클래스 명,접근자,타입,변수명,설명,비고,,,클래스 명: 해당 변수가 속한 클래스명
"@Log4j2
@Controller
@RequestMapping(""/admin"")
@RequiredArgsConstructor
AdminController",private,AdminService,adminService,"adminservice 객체를 받아옴 alt+enter로 아랫줄 입력 가능
이건 일반용 작업. 화면과 연계된 controller",,,,변수 명: ex) movieService
AdminDTO,private,Integer,adminId,관리자 고유번호,,,,"타입: ex) MovieService, Long, String"
,private,String,loginId,관리자 아이디,,,,설명: 한 줄 요약
,private,String,password,비밀번호,,,,비고: FK·PK·UNIQUE 등 특이사항
,private,String,name,아이디,,,,
,private,String,phoneAdmin,연락처,,,,
,private,String,level,권한 수준,,,,
,private,String,uuid,자동 로그인 연결 uuid,,,,
,private,LocalDateTime,createAt,계정 생성일,,,,
"@Configuration
MapperConfig",,,,"VO,ENTITY < - > DTO 변환을 위한 설정",,,,
"@Configuration
SecurityConfig",,,,,,,,
"@Configuration
FileConfig",,,,,,,,
,,,,,,,,
,,,,,,,,
"@Controller
WebsocketContoller",,,,,,,,
SeatController,,,,,,,,
AuthContoller,,,,,,,,
MainController,,,,,,,,
AdminController,,,,,,,,
MovieController,,,,,,,,
ScheduleController,,,,,,,,
StatisticsController,,,,,,,,
PolicyController,,,,,,,,
MemberController,,,,,,,,
,,,,,,,,
,,,,,,,,
WebsocketService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
AuthServiece,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
SmsService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
AdminService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
MembersService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
MovieService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
BonusPolicyService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
DiscountPolicyService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
TheaterService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
ScheduleService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
StatisticsService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
ReservationService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
PaymentDetailsService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
PointService,private final,ModelMapper,modelMapper,"VO,ENTITY < - > DTO 변환",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"@Mapper
AdminMapper",,,,MyBatis 복잡한 쿼리문 쓸때 사용,,,,
"@Mapper
MembersMapper",,,,,,,,
"@Mapper
MovieMapper",,,,,,,,
"@Mapper
SeatPolicyMapper",,,,,,,,
"@Mapper
BonusPolicyMapper",,,,,,,,
"@Mapper
DiscountPolicyMapper",,,,,,,,
"@Mapper
TheaterMapper",,,,,,,,
"@Mapper
ScheduleMapper",,,,,,,,
"@Mapper
StatisticsMapper",,,,,,,,
"@Mapper
ReservationDetailsMapper",,,,,,,,
"@Mapper
ReservationSeatMapper",,,,,,,,
"@Mapper
PaymentDetailsMapper",,,,,,,,
"@Mapper
PointHistoryMapper",,,,,,,,
,,,,,,,,
,,,,,,,,
AdminRepository,,,,JPA CRUD 구현 사용,,,,
MovieRepository,,,,,,,,
ScheduleRepository,,,,,,,,
TheaterRepository,,,,,,,,
SeatPolicyRepository,,,,,,,,
ReservationDetailsRepository,,,,,,,,
ReservationSeatRepository,,,,,,,,
PaymentDetailsRepository,,,,,,,,
BonusPolicyRepository,,,,,,,,
DiscountPolicyRepository,,,,,,,,
PointHistoryRepository,,,,,,,,
MembersRepository,,,,,,,,
StatisticsRepository,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Admin,,,,,,,,
Movie,,,,,,,,
Schedule,,,,,,,,
Theater,,,,,,,,
SeatPolicy,,,,,,,,
ReservationDetails,,,,,,,,
ReservationSeat,,,,,,,,
PaymentDetails,,,,,,,,
BonusPolicy,,,,,,,,
DiscountPolicy,,,,,,,,
PointHistory,,,,,,,,
Members,,,,,,,,
Statistics,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
공통 어노테이션,,,,,,,,
"@Getter
@ToString
@Builder
@NoArgumentConstructor
@AllArgumentConstructo",,,,,,,,
AdminVO,private,Long,adminId,관리자 인덱스,,,,
,private,String,loginId,관리자 아이디,,,,
,private,String,password,관리자 비밀번호,,,,
,private,String,name,관리자 이름,,,,
,private,String,phoneAdmin,전화번호,,,,
,private,boolean,level,"관리자 권한 레벨 : 마스터 0, 알바 1",,,,
,private,String,uuid,자동 로그인 토큰,,,,
,private,LocalDatetime,createAt,계정 생성 일자,,,,
MembersVO,private,String,phone,회원 번호,,,,
,private,Long,point,보유 포인트,,,,
,private,LocalDatetime,createdAt,생성일,,,,
MovieVO,private,Long,movieId,영화 인덱스,,,,
,private,String,title,영화 제목,,,,
,private,String,genre,장르,,,,
,private,String,rating,"ENUM ('ALL', '12', '15', '19') 관람 등급",,,,
,private,Long,runtime,상영 시간(분단위),,,,
,private,String,director,감독,,,,
,private,String,actor,"주연 배우, 쉼표로 구문",,,,
,private,String,description,줄거리,,,,
,private,LocalDatetime,startAt,상영 시작일,,,,
,private,LocalDatetime,endAt,상영 종료일,,,,
,private,LocalDatetime,createAt,영화 등록일,,,,
SeatPolicyVO,private,String,policyId,좌석 정책 인덱스,,,,
,private,String,name,"좌석 이름(리클라이너, 일반, 천연가죽 등)",,,,
,private,Long,cost,좌석 비용,,,,
BonusPolicyVO,private,Long,id,적립 정책 인덱스,,,,
,private,String,policyName,정책 이름,,,,
,private,Long,giveValue,적립 비율,,,,
,private,LocalDatetime,createAt,시작일,,,,
,private,LocalDatetime,finishedAt,만료일,,,,
,private,Boolean,activation,활성화 여부(중요할까?),,,,
DiscountPolicyVO,private,Long,id,할인 정책 인덱스,,,,
,private,String,policyName,할인 정책 이름,,,,
,private,String,discountType,"ENUM ('RATIO', 'WON') 할인 방식(비율, 고정)",,,,
,private,Long,discountValue,할인 값,,,,
,private,String,conditionType,"ENUM ('TIME', 'AGE', 'JOB'), 할인 유형",,,,
,private,LocalDatetime,createAt,,,,,
,private,LocalDatetime,finishedAt,,,,,
,private,Boolean,activation,활성화 여부(중요할까?),,,,
TheaterVO,private,Long,no,상영관 번호,,,,
,private,String,policyId,좌석 정책,,,,
,private,Long,cleanupTime,청소시간,,진짜 디테일 미쳤다,,
ScheduleVO,private,Long,id,스케쥴 인덱스,,ㄴㄴ,,
,private,Long,no,상영관 번호,,ㄱㄱ,,
,private,Long,movieId,영화 번호,,할거하셈들,,
,private,LocalDatetime,startTime,상영 시작 시간,,,,
,private,LocalDatetime,endTime,상영 종료 시간,,,,
StatisticsVO,private,Long,id,통계 고유번호,,,,
,private,Long,scheduleId,스케쥴 아이디,,,,
,private,String,day,"ENUM ('SUN','MON', 'TUE', 'WED', 'THU', 'FRI', 'SAT'), 요일",,이넘 ㄱ,,
,private,Long,revenue,수익,,,,
,private,Long,customerCount,관람객 수,,,,
ReservationDetailsVO,private,String,id,예매 고유번호(uuid),,조장님이 String 하래요 흙흙,,
,private,Long,scheduleId,스케쥴 아이디,,,,
,private,String,phone,회원 번호,,,,
,private,LocalDatetime,reservationTime,예약 시간,,,,
ReservationSeatVO,private,Long,id,인덱스,,,,
,private,String,reservationId,예매 내역,,,,
,private,String,seatNumber,좌석 번호,,,,
PaymentDetailsVO,private,String,id,인덱스,,,,
,private,String,reservationId,예매 내역,,,,
,private,Long,bonusPolicyId,사용한 적립 정책,,,,
,private,Long,discountPolicyId,"사용한 할인 정책, 없는 경우 null",,,,
,private,Long,cost,결제 금액,,,,
,private,LocalDatetime,time,결제 시간,,,,
,private,Long,usePoint,사용 포인트 기본값 0,,,,
,private,String,status,"ENUM ('PAY','RETURN','FAIL'), 결제 완료, 환불, 실패",,,,
PointHistoryVO,private,Long,pointId,포인트 내역 인덱스,,,,
,private,String,paymentId,결제 고유번호,,,,
,private,String,phone,회원 번호,,,,
,private,String,type,"ENUM ('EARN', 'USE') 적립 / 사용",,,,
,private,Long,amountPoint,변경된 포인트,,,,
,private,LocalDatetime,createAt,포인트 변경일,,,,
,,,,,,,,
,,,,,,,,
공통 어노테이션,,,,,,,,
"@Data
@Builder
@NoArgumentConstructor
@AllArgumentConstructo",,,,,,,,
AdminDTO,private,Long,adminId,관리자 인덱스,,,,
,private,String,loginId,관리자 아이디,,,,
,private,String,password,관리자 비밀번호,,,,
,private,String,name,관리자 이름,,,,
,private,String,phoneAdmin,전화번호,,,,
,private,boolean,level,"관리자 권한 레벨 : 마스터 0, 알바 1",,,,
,private,String,uuid,자동 로그인 토큰,,,,
,private,LocalDatetime,createAt,계정 생성 일자,,,,
MembersDTO,private,String,phone,회원 번호,,,,
,private,Long,point,보유 포인트,,,,
,private,LocalDatetime,createdAt,생성일,,,,
MovieDTO,private,Long,movieId,영화 인덱스,,,,
,private,String,title,영화 제목,,,,
,private,String,genre,장르,,,,
,private,String,rating,"ENUM ('ALL', '12', '15', '19') 관람 등급",,,,
,private,Long,runtime,상영 시간(분단위),,,,
,private,String,director,감독,,,,
,private,String,actor,"주연 배우, 쉼표로 구문",,,,
,private,String,description,줄거리,,,,
,private,LocalDatetime,startAt,상영 시작일,,,,
,private,LocalDatetime,endAt,상영 종료일,,,,
,private,LocalDatetime,createAt,영화 등록일,,,,
BonusPolicyDTO,private,Long,id,적립 정책 인덱스,,,,
,private,String,policyName,정책 이름,,,,
,private,Long,giveValue,적립 비율,,,,
,private,LocalDatetime,createAt,시작일,,,,
,private,LocalDatetime,finishedAt,만료일,,,,
,private,Boolean,activation,활성화 여부(중요할까?),,,,
DiscountPolicyDTO,private,Long,id,할인 정책 인덱스,,,,
,private,String,policyName,할인 정책 이름,,,,
,private,String,discountType,"ENUM ('RATIO', 'WON') 할인 방식(비율, 고정)",,,,
,private,Long,discountValue,할인 값,,,,
,private,String,conditionType,"ENUM ('TIME', 'AGE', 'JOB'), 할인 유형",,,,
,private,LocalDatetime,createAt,,,,,
,private,LocalDatetime,finishedAt,,,,,
,private,Boolean,activation,활성화 여부(중요할까?),,,,
