No,패키지,클래스,역할,담당자
1,config,MapperConfig,modelmapper 설정,
2,,SecurityConfig,보안 설정(보류),
3,,Websocket,공유를 위한 설정,혜윰
4,,,,
5,,,,
6,controller,SeatController,좌석 정보 확인을 위한 rest 컨트롤러,
7,,AuthContoller,관리자 인증을 위한 rest 컨트롤러,
8,,MainController,고객을 위한 키오스크 컨트롤러,
9,,AdminController,관리자 페이지를 위한 컨트롤러,
10,,MovieController,영화 정보 관리를 위한 컨트롤러,준용
11,,ScheduleController,"스케쥴 조회, 스케쥴 등록/삭제를 위한 컨트롤러",
12,,StatisticsController,통계조회용 컨트롤러,
13,,PolicyController,정책(할인) 조회/등록/수정 컨트롤러,
14,,MemberController,회원 조회/등록/포인트조회 컨트롤러 ,
15,,FileController,파일을 등록하고 제어하는 컨트롤러,
16,,,,
17,,,,
18,service,AuthServiece,인증 기능을 제공하는 서비스,
19,,SmsService,문자 발송기능을 제공하는 서비스,
20,,loginService,관리자 기능을 제공하는 서비스,
21,,MembersService,"고객 정보, 포인트 적립/사용/조회를 처리하는 서비스",
22,,MovieService,영화 관련 정보를 처리하는 서비스,
23,,BonusPolicyService,적립 정책을 관리하는 서비스,
24,,DiscountPolicyService,할인 정책을 관리하는 서비스(쿠폰 추가 관리),
25,,TheaterService,상영관 정보를 합쳐서 보기 위한 (Theater + SeatPolicy),
26,,ScheduleService,상영 스케쥴을 처리하는 서비스,
27,,StatisticsService,통계정보를 불러오는 서비스,
28,,ReservationService,예약내역을 처리하는 서비스,
29,,PaymentDetailsService,결제 정보를 처리하는 서비스,
30,,FileService,파일 조작 기능을 제공하는 서비스,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,dto,AdminDTO,관리자 정보 들고오는 DTO,
37,,MembersDTO,고객 정보를 들고오는 DTO,
38,,MovieDTO,영화 정보를 들고오는 DTO,
39,,BonusPolicyDTO,적립 정책을 가져오는 DTO,
40,,DiscountPolicyDTO,할인 정책을 가져오는 DTO,
41,,TheaterDTO,상영관 정보를 합쳐서 보기 위한 DTO(Theater + SeatPolicy),
42,,ScheduleDTO,상영 스케쥴을 가져오는 DTO(상영 스케쥴VO + 추가 정보들),
43,,StatisticsDTO,통계에 사용하기 위해 가공된 데이터를 받아오는 DTO,
44,,ReservationDTO,예약내역을 합쳐서 보기위한 DTO(details + seat),
45,,PaymentDetailsDTO,결제 내역을 담기위한 DTO,
46,,PointHistoryDTO,포인트 내역을 담기위한 DTO,
47,,FileDTO,이미지 데이터를 위한 DTO,
48,,,,
49,,,,
50,vo,AdminVO,admin 테이블 대응 VO,
51,,MembersVO,mebers 테이블 대응 VO,
52,,MovieVO,movie 테이블 대응 VO,
53,,SeatPolicyVO,seat_policy 테이블 대응 VO,
54,,BonusPolicyVO,bonus_policy 테이블 대응 VO,
55,,DiscountPolicyVO,discount_policy 테이블 대응 VO,
56,,TheaterVO,theater 테이블 대응 VO,
57,,ScheduleVO,schedule 테이블 대응 VO,
58,,StatisticsVO,statistics 테이블 대응 VO,
59,,ReservationDetailsVO,reservation_details 테이블 대응 VO,
60,,ReservationSeatVO,reservation_seat 테이블 대응 VO,
61,,PaymentDetailsVO,payment_details 테이블 대응 VO,
62,,PointHistoryVO,point_history 테이블 대응 VO,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,mapper,AdminMapper,Mybaits 관리자,
69,여긴 쿼리문 직접 써야 하는 경우에,MembersMapper,Mybaits 회원,
70,사용합니다.,MovieMapper,Mybaits 영화,
71,예를 들어 JOIN 같은건 다 여기서 사용,SeatPolicyMapper,Mybaits 좌석정책,
72,,BonusPolicyMapper,Mybaits 적립 행사 정책,
73,,DiscountPolicyMapper,Mybaits 할인 행사 정책,
74,,TheaterMapper,Mybaits 상영관,
75,,ScheduleMapper,Mybaits 상영 스케줄,
76,,StatisticsMapper,Mybaits 통계,
77,,ReservationDetailsMapper,Mybaits 예매 내역,
78,,ReservationSeatMapper,Mybaits 예매 좌석,
79,,PaymentDetailsMapper,Mybaits 결제 내역,
80,,PointHistoryMapper,Mybaits 포인트 내역,
81,,,,
82,,,,
83,repository,AdminRepository,JPA 기본 CRUD,
84,,MovieRepository,JPA 기본 CRUD,
85,,ScheduleRepository,JPA 기본 CRUD,
86,,TheaterRepository,JPA 기본 CRUD,
87,,SeatPolicyRepository,JPA 기본 CRUD,
88,,ReservationDetailsRepository,JPA 기본 CRUD,
89,,ReservationSeatRepository,JPA 기본 CRUD,
90,,PaymentDetailsRepository,JPA 기본 CRUD,
91,,BonusPolicyRepository,JPA 기본 CRUD,
92,,DiscountPolicyRepository,JPA 기본 CRUD,
93,,PointHistoryRepository,JPA 기본 CRUD,
94,,MembersRepository,JPA 기본 CRUD,
95,,StatisticsRepository,JPA 기본 CRUD,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,domain(entity),Admin,JPA Entity 관리자,
102,,Movie,JPA Entity  회원,
103,,Schedule,JPA Entity 영화,
104,,Theater,JPA Entity 좌석정책,
105,,SeatPolicy,JPA Entity 적립 행사 정책,
106,,ReservationDetails,JPA Entity 할인 행사 정책,
107,,ReservationSeat,JPA Entity 상영관,
108,,PaymentDetails,JPA Entity 상영 스케줄,
109,,BonusPolicy,JPA Entity 통계,
110,,DiscountPolicy,JPA Entity 예매 내역,
111,,PointHistory,JPA Entity 예매 좌석,
112,,Members,JPA Entity 결제 내역,
113,,Statistics,JPA Entity 포인트 내역,
114,,,,
115,,,,
116,templete,,,
